,tweet_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,dog_types,retweet_count,favorite_count,jpg_url,img_num,dog_prediction,prediction,confident,dog_breed
4579,675710890956750848,2015-12-12 16:16:45 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Lenny. He was just told that he couldn't explore the fish tank. 12/10 smh all that work for nothing https://t.co/JWi6YrpiO1,"https://twitter.com/dog_rates/status/675710890956750848/photo/1,https://twitter.com/dog_rates/status/675710890956750848/photo/1",12.0,10,Lenny,,1782.0,768.0,https://pbs.twimg.com/media/CWCbd8ZWoAAtqoH.jpg,2.0,1.0,standard_schnauzer,0.4414270000000001,True
4580,675710890956750848,2015-12-12 16:16:45 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Lenny. He was just told that he couldn't explore the fish tank. 12/10 smh all that work for nothing https://t.co/JWi6YrpiO1,"https://twitter.com/dog_rates/status/675710890956750848/photo/1,https://twitter.com/dog_rates/status/675710890956750848/photo/1",12.0,10,Lenny,,1782.0,768.0,https://pbs.twimg.com/media/CWCbd8ZWoAAtqoH.jpg,2.0,2.0,miniature_schnauzer,0.248885,True
4581,675710890956750848,2015-12-12 16:16:45 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Lenny. He was just told that he couldn't explore the fish tank. 12/10 smh all that work for nothing https://t.co/JWi6YrpiO1,"https://twitter.com/dog_rates/status/675710890956750848/photo/1,https://twitter.com/dog_rates/status/675710890956750848/photo/1",12.0,10,Lenny,,1782.0,768.0,https://pbs.twimg.com/media/CWCbd8ZWoAAtqoH.jpg,2.0,3.0,Sealyham_terrier,0.164967,True
4582,675706639471788032,2015-12-12 15:59:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is a Sizzlin Menorah spaniel from Brooklyn named Wylie. Lovable eyes. Chiller as hell. 10/10 and I'm out.. poof https://t.co/7E0AiJXPmI,https://twitter.com/dog_rates/status/675706639471788032/photo/1,10.0,10,a,,616.0,87.0,https://pbs.twimg.com/media/CWCXj35VEAIFvtk.jpg,1.0,1.0,English_springer,0.9903,True
4583,675706639471788032,2015-12-12 15:59:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is a Sizzlin Menorah spaniel from Brooklyn named Wylie. Lovable eyes. Chiller as hell. 10/10 and I'm out.. poof https://t.co/7E0AiJXPmI,https://twitter.com/dog_rates/status/675706639471788032/photo/1,10.0,10,a,,616.0,87.0,https://pbs.twimg.com/media/CWCXj35VEAIFvtk.jpg,1.0,2.0,Welsh_springer_spaniel,0.00207991,True
4584,675706639471788032,2015-12-12 15:59:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is a Sizzlin Menorah spaniel from Brooklyn named Wylie. Lovable eyes. Chiller as hell. 10/10 and I'm out.. poof https://t.co/7E0AiJXPmI,https://twitter.com/dog_rates/status/675706639471788032/photo/1,10.0,10,a,,616.0,87.0,https://pbs.twimg.com/media/CWCXj35VEAIFvtk.jpg,1.0,3.0,cocker_spaniel,0.00201378,True
4585,675534494439489536,2015-12-12 04:35:48 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Seriously guys?! Only send in dogs. I only rate dogs. This is a baby black bear... 11/10 https://t.co/H7kpabTfLj,https://twitter.com/dog_rates/status/675534494439489536/photo/1,11.0,10,a,,1742.0,384.0,https://pbs.twimg.com/media/CV_7CV6XIAEV05u.jpg,1.0,1.0,chow,0.749368,True
4586,675534494439489536,2015-12-12 04:35:48 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Seriously guys?! Only send in dogs. I only rate dogs. This is a baby black bear... 11/10 https://t.co/H7kpabTfLj,https://twitter.com/dog_rates/status/675534494439489536/photo/1,11.0,10,a,,1742.0,384.0,https://pbs.twimg.com/media/CV_7CV6XIAEV05u.jpg,1.0,2.0,schipperke,0.13373800000000002,True
4587,675534494439489536,2015-12-12 04:35:48 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Seriously guys?! Only send in dogs. I only rate dogs. This is a baby black bear... 11/10 https://t.co/H7kpabTfLj,https://twitter.com/dog_rates/status/675534494439489536/photo/1,11.0,10,a,,1742.0,384.0,https://pbs.twimg.com/media/CV_7CV6XIAEV05u.jpg,1.0,3.0,Newfoundland,0.0499138,True
4588,675531475945709568,2015-12-12 04:23:49 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Ellie AKA Queen Slayer of the Orbs. Very self-motivated. Great yard. Rad foliage. 10/10 would pet diligently https://t.co/c9jmg3Xtzn,https://twitter.com/dog_rates/status/675531475945709568/photo/1,10.0,10,Ellie,,1120.0,358.0,https://pbs.twimg.com/media/CV_4ShmUYAA3wNu.jpg,1.0,1.0,Pembroke,0.918441,True
