,tweet_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,dog_types,retweet_count,favorite_count,jpg_url,img_num,dog_prediction,prediction,confident,dog_breed
4494,676588346097852417,2015-12-15 02:23:26 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Bubbles. He kinda resembles a fish. Always makes eye contact with u no matter what. Sneaky tongue slip. 5/10 https://t.co/Nrhvc5tLFT,https://twitter.com/dog_rates/status/676588346097852417/photo/1,5.0,10,Bubbles,,2196.0,738.0,https://pbs.twimg.com/media/CWO5gmCUYAAX4WA.jpg,1.0,1.0,Boston_bull,0.976577,True
4495,676588346097852417,2015-12-15 02:23:26 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Bubbles. He kinda resembles a fish. Always makes eye contact with u no matter what. Sneaky tongue slip. 5/10 https://t.co/Nrhvc5tLFT,https://twitter.com/dog_rates/status/676588346097852417/photo/1,5.0,10,Bubbles,,2196.0,738.0,https://pbs.twimg.com/media/CWO5gmCUYAAX4WA.jpg,1.0,2.0,French_bulldog,0.0143237,True
4496,676588346097852417,2015-12-15 02:23:26 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Bubbles. He kinda resembles a fish. Always makes eye contact with u no matter what. Sneaky tongue slip. 5/10 https://t.co/Nrhvc5tLFT,https://twitter.com/dog_rates/status/676588346097852417/photo/1,5.0,10,Bubbles,,2196.0,738.0,https://pbs.twimg.com/media/CWO5gmCUYAAX4WA.jpg,1.0,3.0,Chihuahua,0.00230192,True
4498,676582956622721024,2015-12-15 02:02:01 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Meet Vinnie. He's having fun while being safe. Well not a lot of fun, but definitely safe, and that's important 8/10 https://t.co/vZYtynZZlH",https://twitter.com/dog_rates/status/676582956622721024/photo/1,8.0,10,Vinnie,,1131.0,259.0,https://pbs.twimg.com/media/CWO0m8tUwAAB901.jpg,1.0,2.0,Boston_bull,0.196307,True
4499,676582956622721024,2015-12-15 02:02:01 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Meet Vinnie. He's having fun while being safe. Well not a lot of fun, but definitely safe, and that's important 8/10 https://t.co/vZYtynZZlH",https://twitter.com/dog_rates/status/676582956622721024/photo/1,8.0,10,Vinnie,,1131.0,259.0,https://pbs.twimg.com/media/CWO0m8tUwAAB901.jpg,1.0,3.0,French_bulldog,0.0124289,True
4501,676575501977128964,2015-12-15 01:32:24 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This pupper is very passionate about Christmas. Wanted to give the tree a hug. So cute. 8/10 https://t.co/NsGyECJuq7,https://twitter.com/dog_rates/status/676575501977128964/photo/1,8.0,10,None,pupper,2443.0,1057.0,https://pbs.twimg.com/media/CWOt07EUsAAnOYW.jpg,1.0,2.0,Yorkshire_terrier,0.0731443,True
4502,676575501977128964,2015-12-15 01:32:24 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This pupper is very passionate about Christmas. Wanted to give the tree a hug. So cute. 8/10 https://t.co/NsGyECJuq7,https://twitter.com/dog_rates/status/676575501977128964/photo/1,8.0,10,None,pupper,2443.0,1057.0,https://pbs.twimg.com/media/CWOt07EUsAAnOYW.jpg,1.0,3.0,Shetland_sheepdog,0.0575976,True
4503,676533798876651520,2015-12-14 22:46:41 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ITSOFLUFFAYYYYY 12/10 https://t.co/bfw13CnuuZ,https://twitter.com/dog_rates/status/676533798876651520/photo/1,12.0,10,None,,1784.0,521.0,https://pbs.twimg.com/media/CWOH4s9U8AEtkmQ.jpg,1.0,1.0,chow,0.26527399999999995,True
4506,676496375194980353,2015-12-14 20:17:59 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Say hello to Griffin. He's upset because his costume for Halloween didn't arrive until today. 9/10 cheer up pup https://t.co/eoBCjSFajX,https://twitter.com/dog_rates/status/676496375194980353/photo/1,9.0,10,Griffin,,1448.0,503.0,https://pbs.twimg.com/media/CWNl3S9WcAARN34.jpg,1.0,1.0,pug,0.985387,True
4507,676496375194980353,2015-12-14 20:17:59 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Say hello to Griffin. He's upset because his costume for Halloween didn't arrive until today. 9/10 cheer up pup https://t.co/eoBCjSFajX,https://twitter.com/dog_rates/status/676496375194980353/photo/1,9.0,10,Griffin,,1448.0,503.0,https://pbs.twimg.com/media/CWNl3S9WcAARN34.jpg,1.0,2.0,Norwegian_elkhound,0.0044169,True
4508,676496375194980353,2015-12-14 20:17:59 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Say hello to Griffin. He's upset because his costume for Halloween didn't arrive until today. 9/10 cheer up pup https://t.co/eoBCjSFajX,https://twitter.com/dog_rates/status/676496375194980353/photo/1,9.0,10,Griffin,,1448.0,503.0,https://pbs.twimg.com/media/CWNl3S9WcAARN34.jpg,1.0,3.0,French_bulldog,0.00389287,True
4509,676470639084101634,2015-12-14 18:35:43 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Three generations of pupper. 11/10 for all https://t.co/tAmQYvzrau,https://twitter.com/dog_rates/status/676470639084101634/photo/1,11.0,10,None,pupper,11062.0,4423.0,https://pbs.twimg.com/media/CWNOdIpWoAAWid2.jpg,1.0,1.0,golden_retriever,0.7903859999999999,True
